Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,ValidTalonaId,Laiks
8596086,5 parks,Tramvajs,58523,Imanta - Jugla,Tm 1,Back,3676606,31.10.2024 00:16:22
8601793,1 parks,Trolejbuss,17627,Pļavnieki - Šmerlis,Tr 16,Forth,3674674,31.10.2024 00:12:26
8605148,6 parks,Autobuss,68194,Babītes stacija - Preču 2,A 13,Forth,3673595,31.10.2024 00:10:56
8609893,1 parks,Trolejbuss,17627,Pļavnieki - Šmerlis,Tr 16,Forth,3658677,31.10.2024 00:09:00
8611859,7 parks,Autobuss,78171,Abrenes iela - Biķeri,A 6,Forth,3671445,31.10.2024 00:01:40
8614189,7 parks,Autobuss,78692,Abrenes iela - Lidosta,A 22,Forth,3670672,31.10.2024 00:43:35
8628174,1 parks,Trolejbuss,17878,Centrāltirgus - Sarkandaugava,Tr 3,Forth,3665758,31.10.2024 00:23:13
8630706,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3664455,31.10.2024 00:05:32
8635578,7 parks,Autobuss,79338,Dārziņi - Jugla,A 15,Back,3661746,31.10.2024 00:07:57
8637951,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3660390,31.10.2024 00:03:08
8638729,5 parks,Tramvajs,58011,Imanta - Jugla,Tm 1,Back,3659990,31.10.2024 00:07:44
8644283,6 parks,Autobuss,68194,Babītes stacija - Preču 2,A 13,Forth,3643680,31.10.2024 00:04:33
8656388,6 parks,Autobuss,68141,Imanta  - Jugla,A 21,Back,3650799,31.10.2024 00:00:34
8659248,6 parks,Autobuss,68141,Imanta  - Jugla,A 21,Back,3635500,31.10.2024 00:03:45
8668760,2 parks,Trolejbuss,27635,Jugla 3 -- Ziepniekkalns,Tr 4,Forth,3615967,31.10.2024 00:01:11
8670580,5 parks,Tramvajs,57615,Ausekļa iela - Ķengarags,Tm 7,Forth,3642839,31.10.2024 00:03:40
8670592,6 parks,Autobuss,67122,Mežciems  -  Šampēteris,A 63,Forth,3616181,31.10.2024 00:55:10
8671486,3 parks,Tramvajs,30307,Iļģuciems - Mīlgrāvis,Tm 5,Forth,3642260,31.10.2024 00:20:46
8671502,6 parks,Autobuss,67122,Mežciems  -  Šampēteris,A 63,Forth,3436218,31.10.2024 01:22:58
8671550,6 parks,Autobuss,67122,Mežciems  -  Šampēteris,A 63,Forth,3642234,31.10.2024 00:41:16
8671735,6 parks,Autobuss,64083,Mežciems  -  Šampēteris,A 63,Forth,3642107,31.10.2024 00:54:30
